scenario,label,enterprise_value_usd_bn,pv_explicit_fcff_usd_bn,pv_terminal_value_usd_bn,terminal_value_share_of_ev,core_equity_value_usd_bn,core_fair_value_per_share,irs_win_probability,pv_future_tax_drag_if_loss_usd_bn,irs_expected_adjustment_usd_bn,risk_adjusted_equity_value_usd_bn,risk_adjusted_fair_value_per_share,rationale
bear,Bear Case,232.061031172,50.000018727,182.061012445,0.784539358,225.656031172,52.31997013,0.5,12.735488651,-10.560744326,215.095286847,49.871385775,"Pricing and volume normalize faster, margin gives back part of the post-CCBA mix benefit, reinvestment stays elevated, and valuation risk premia remain higher"
base,Base Case,326.503774328,56.141670823,270.362103505,0.828052001,320.098774328,74.21719785,0.6,16.177512611,-8.522605045,311.576169283,72.241170713,"2026 FX tailwind is removed, growth fades gradually toward a mature rate, and only modest post-CCBA margin and capital-intensity improvement is recognized"
bull,Bull Case,472.341446287,60.305592546,412.035853741,0.872326274,465.936446287,108.030708622,0.7,22.169183949,-6.560955185,459.375491102,106.509504081,"Brand pricing and emerging-market volume remain resilient, asset-light mix produces operating leverage, and lower risk premia accompany stronger terminal economics"
