year,revenue_usd_bn,revenue_growth,operating_margin,ebit_usd_bn,tax_rate,nopat_usd_bn,da_revenue_ratio,da_usd_bn,capex_revenue_ratio,capex_usd_bn,delta_nwc_revenue_ratio,delta_nwc_usd_bn,fcff_usd_bn,discount_years,discount_factor,pv_fcff_usd_bn
2027,49.08369839,0.047,0.337,16.541206358,0.2,13.232965086,0.017,0.834422873,0.036,1.767013142,0,0,12.300374817,0.87,0.945141766,11.625597975
2028,51.24338112,0.044,0.338,17.320262818,0.2,13.856210255,0.017,0.871137479,0.035,1.793518339,0,0,12.933829395,1.87,0.885793595,11.456703237
2029,53.344359745,0.041,0.339,18.083737954,0.2,14.466990363,0.017,0.906854116,0.034,1.813708231,0,0,13.560136247,2.87,0.830172067,11.257246331
2030,55.371445416,0.038,0.34,18.826291441,0.2,15.061033153,0.017,0.941314572,0.033,1.827257699,0,0,14.175090026,3.87,0.778043174,11.028832035
2031,57.309446005,0.035,0.341,19.542521088,0.2,15.63401687,0.017,0.974260582,0.032,1.833902272,0,0,14.77437518,4.87,0.729187604,10.773291244
